"nationality_label","nationality_freq","lat","lon"
"France",31,"46","2"
"Switzerland",14,"47","8"
"Germany",56,"51","9"
"Norway",8,"62","10"
"Spain",4,"40","-4"
"Italy",12,"42.83333333","12.83333333"
"Denmark",9,"56","10"
"Russian Federation",16,"60","100"
"Poland",5,"52","20"
"Netherlands",8,"52.5","5.75"
"Ireland",5,"53","-8"
"United Kingdom",50,"54","-2"
"Sweden",23,"62","15"
"India",3,"20","77"
"Belgium",5,"50.83333333","4"
"United States",158,"38","-97"
"Austria",6,"47.33333333","13.33333333"
"Hungary",3,"47","20"
"Argentina",3,"-34","-64"
"Finland",2,"64","26"
"Israel",8,"31.47","35.13"
"Czech Republic",2,"49.75","15.5"
"Canada",12,"60","-95"
"Croatia",1,"45.16666666","15.5"
"Japan",11,"36","138"
"Guatemala",2,"15.5","-90.25"
"Australia",6,"-27","133"
"South Africa",3,"-29","24"
"Iceland",1,"65","-18"
"Bulgaria",1,"43","25"
"Viet Nam",1,"16.16666666","107.83333333"
"Greece",1,"39","22"
"Egypt",3,"27","30"
"Romania",1,"46","25"
"Saint Lucia",2,"13.88333333","-60.96666666"
"Portugal",1,"39.5","-8"
"Colombia",1,"4","-72"
"Algeria",1,"28","3"
"Ghana",1,"8","-2"
"Bangladesh",1,"24","90"
"Cyprus",1,"35","33"
"Turkey",1,"39","35"
"Liberia",1,"6.5","-9.5"
"Yemen",1,"15","48"
